BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
3,Alexandria,2021-12-26,20000,I,CLSD,Closed,0,2026-02-27,World Elite Card,3629.03,15900.72,M,1976-08-09,Primary,100005,2026-02-18,0.0,50,,,,CLSD,0,6
10,Suez,2021-07-12,20000,I,CLSB,Closed by Bank,0,2026-02-26,Business Credit Card,13950.48,5699.7,M,1999-04-24,Primary,100007,2026-01-05,0.0,56,,,,CLSB,0,8
3,Alexandria,2019-10-18,75000,I,CLSC,Closed by Customer,0,2026-02-14,Gold Credit Card,19258.01,55522.96,F,1988-02-23,Primary,100009,2026-02-01,0.0,77,,,,CLSC,0,10
3,Alexandria,2019-03-12,30000,I,CLSC,Closed by Customer,0,2026-02-20,Titanium Credit Card,17992.45,11592.93,M,1982-10-09,Secondary,100011,2026-01-21,0.0,84,,,,CLSC,0,12
7,Luxor,2024-05-22,20000,I,CLSC,Closed by Customer,0,2026-02-28,Classic Credit Card,1856.54,18090.58,F,1965-05-18,Primary,100023,2026-01-18,0.0,21,,,,CLSC,0,24
5,Tanta,2019-06-21,30000,A,LOST,Lost,0,2026-02-19,Business Credit Card,19127.38,10797.89,M,1977-10-02,Primary,100024,,0.0,81,,,,LOST,0,25
9,Ismailia,2019-04-04,10000,I,CLSB,Closed by Bank,0,2026-02-24,Platinum Credit Card,4907.01,4698.01,M,1960-06-07,Primary,100029,2026-01-23,0.0,84,,,,CLSB,0,30
3,Alexandria,2022-08-16,5000,A,SUSP,Profit Suspended,120,2026-02-24,Platinum Credit Card,440.7,4555.06,M,1999-07-16,Primary,100031,,2235.54,43,,,,SUSP,0,32
6,Assiut,2018-10-12,30000,A,SUSP,Profit Suspended,120,2026-02-16,Cashback Card,23518.39,6368.79,F,1972-06-30,Primary,100033,,13658.85,89,,,,SUSP,0,34
7,Luxor,2019-12-22,150000,I,CLSC,Closed by Customer,0,2026-02-24,Business Credit Card,121431.64,28239.68,M,1969-10-25,Primary,100041,2026-01-30,0.0,75,,,,CLSC,0,42
9,Ismailia,2020-09-06,30000,I,CLSB,Closed by Bank,0,2026-02-27,Business Credit Card,4202.11,25466.65,M,1981-09-26,Primary,100043,2026-01-29,0.0,66,,,,CLSB,0,44
3,Alexandria,2020-08-05,75000,I,CNCD,Cancelled,0,2026-02-26,Platinum Credit Card,44068.15,30566.28,F,1966-10-07,Primary,100044,,0.0,67,,,,CNCD,0,45
1,Cairo Main,2022-09-17,75000,I,CNCD,Cancelled,0,2026-03-01,Classic Credit Card,67828.98,6882.38,M,1969-04-11,Primary,100045,,0.0,42,,,,CNCD,0,46
7,Luxor,2022-02-26,10000,A,SUSP,Profit Suspended,120,2026-02-17,Cashback Card,1768.54,7810.39,F,1989-09-03,Primary,100053,,4580.31,48,,,,SUSP,0,54
7,Luxor,2024-03-03,5000,I,CLSD,Closed,0,2026-02-16,Business Credit Card,2621.9,2126.71,F,1996-06-29,Primary,100072,2026-02-12,0.0,24,,,,CLSD,0,73
4,Mansoura,2024-02-28,15000,I,CLSD,Closed,0,2026-02-19,World Elite Card,13255.33,1286.14,M,1971-12-24,Secondary,100074,2026-02-04,0.0,24,,,,CLSD,0,75
1,Cairo Main,2022-12-11,5000,A,WROF,Write Off,180,2026-02-28,Cashback Card,4395.25,573.31,F,1973-11-09,Primary,100089,2026-01-02,2818.93,39,,,,WROF,0,90
1,Cairo Main,2018-03-02,50000,I,CLSC,Closed by Customer,0,2026-02-14,Titanium Credit Card,23939.42,25831.02,M,1965-11-29,Primary,100099,2026-02-22,0.0,97,,,,CLSC,0,100
