BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NEW,New,0,2026-04-16,Titanium Credit Card,12279.19,7318.31,M,1961-02-13,Primary,100000,,0.0,63,,,,NEW,0,1
3,Alexandria,2022-09-28,50000,A,NEW,New,0,2026-04-19,World Elite Card,39459.62,10353.32,F,1991-04-26,Primary,100002,,0.0,43,,,,NEW,0,3
6,Assiut,2020-12-19,5000,A,NORM,Normal,0,2026-04-24,Business Credit Card,1361.68,3591.12,M,1987-01-30,Primary,100003,,0.0,65,,,,NORM,0,4
10,Suez,2018-10-12,5000,A,30DD,30 Days Delinquent,30,2026-04-29,Titanium Credit Card,4650.42,6.76,M,1968-08-16,Primary,100004,,2302.77,91,,,,30DD,0,5
3,Alexandria,2021-12-26,20000,A,NEW,New,0,2026-04-25,World Elite Card,9512.12,10364.21,M,1976-08-09,Primary,100005,,0.0,52,,,,NEW,0,6
7,Luxor,2024-03-31,20000,A,NORM,Normal,0,2026-04-23,Cashback Card,11515.25,8470.79,M,1972-02-09,Primary,100006,,0.0,25,,,,NORM,0,7
10,Suez,2021-07-12,20000,A,NORM,Normal,0,2026-04-20,Business Credit Card,5358.1,14283.21,M,1999-04-24,Primary,100007,,0.0,58,,,,NORM,0,8
2,Giza,2024-01-09,30000,A,NORM,Normal,0,2026-04-26,Cashback Card,24743.19,5096.64,F,1990-07-31,Primary,100010,,0.0,28,,,,NORM,0,11
3,Alexandria,2019-03-12,30000,A,NEW,New,0,2026-04-19,Titanium Credit Card,22791.44,7003.23,M,1982-10-09,Secondary,100011,,0.0,86,,,,NEW,0,12
4,Mansoura,2020-04-03,30000,A,NEW,New,0,2026-04-25,Travel Rewards Card,22659.32,7307.06,F,1984-03-10,Primary,100014,,0.0,73,,,,NEW,0,15
