BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
5,Tanta,2024-07-22,75000,I,CNCD,Cancelled,0,2026-05-01,Travel Rewards Card,18806.36,56092.32,M,1993-07-05,Primary,100008,,0.0,21,,,,CNCD,0,9
3,Alexandria,2019-10-18,75000,I,CLSB,Closed by Bank,0,2026-04-19,Gold Credit Card,70499.46,4068.04,F,1988-02-23,Primary,100009,2026-05-01,0.0,79,,,,CLSB,0,10
10,Suez,2023-06-25,5000,A,WROF,Write Off,180,2026-04-28,Gold Credit Card,-159.51,4559.93,M,1974-07-16,Primary,100012,2026-03-24,1781.33,34,,,,WROF,0,13
2,Giza,2023-06-14,10000,I,CLSC,Closed by Customer,0,2026-04-29,Platinum Credit Card,7273.45,2508.55,M,1992-10-30,Primary,100013,2026-03-08,0.0,35,,,,CLSC,0,14
4,Mansoura,2018-11-05,100000,I,CNCD,Cancelled,0,2026-04-26,Gold Credit Card,28011.78,71640.54,M,1999-03-24,Secondary,100019,,0.0,91,,,,CNCD,0,20
5,Tanta,2024-03-26,100000,I,CLSD,Closed,0,2026-04-22,Platinum Credit Card,77560.4,21972.72,M,1978-12-22,Primary,100021,2026-03-12,0.0,25,,,,CLSD,0,22
2,Giza,2020-05-23,150000,I,CNCD,Cancelled,0,2026-04-22,World Elite Card,131239.98,18426.69,M,1984-02-12,Primary,100025,,0.0,72,,,,CNCD,0,26
10,Suez,2019-01-18,20000,I,CNCD,Cancelled,0,2026-04-29,World Elite Card,12547.19,7205.34,M,1975-01-13,Primary,100039,,0.0,88,,,,CNCD,0,40
7,Luxor,2019-11-08,100000,A,SUSP,Profit Suspended,120,2026-04-23,Platinum Credit Card,46396.25,53441.49,M,1992-06-25,Primary,100047,,24284.28,78,,,,SUSP,0,48
4,Mansoura,2018-03-25,200000,A,LOST,Lost,0,2026-04-18,Platinum Credit Card,2428.89,197308.82,F,1968-12-10,Primary,100050,,0.0,98,,,,LOST,0,51
5,Tanta,2022-02-19,15000,I,CLSD,Closed,0,2026-04-24,Gold Credit Card,8603.64,6289.3,M,1994-05-26,Primary,100051,2026-04-11,0.0,51,,,,CLSD,0,52
3,Alexandria,2019-12-23,150000,I,CLSB,Closed by Bank,0,2026-04-26,World Elite Card,30091.05,119442.44,F,1979-07-15,Primary,100054,2026-03-02,0.0,77,,,,CLSB,0,55
7,Luxor,2024-03-24,20000,I,CLSB,Closed by Bank,0,2026-04-26,Business Credit Card,5175.33,14699.34,M,1981-11-30,Primary,100057,2026-04-16,0.0,25,,,,CLSB,0,58
10,Suez,2024-12-08,20000,I,CLSC,Closed by Customer,0,2026-04-21,Travel Rewards Card,5086.13,14787.32,F,1995-06-21,Secondary,100064,2026-04-19,0.0,16,,,,CLSC,0,65
3,Alexandria,2022-08-01,100000,I,CNCD,Cancelled,0,2026-04-21,Business Credit Card,52714.64,46824.85,M,1960-02-13,Primary,100066,,0.0,45,,,,CNCD,0,67
3,Alexandria,2018-06-01,15000,A,LOST,Lost,0,2026-04-26,Cashback Card,6006.66,8952.5,M,1982-03-21,Secondary,100080,,0.0,96,,,,LOST,0,81
