CREDIT_LIMIT,CUSTOMER_ID,HAS_PROD_Cashback_Card,HAS_PROD_Classic_Credit_Card,HAS_PROD_Gold_Credit_Card,HAS_PROD_Platinum_Credit_Card,HAS_PROD_Titanium_Credit_Card,HAS_PROD_Travel_Rewards_Card,HAS_PROD_World_Elite_Card,AGE_GROUP_18_25
20000,1,0,1,0,0,0,0,0,False
5000,2,1,0,0,0,0,0,0,False
15000,3,1,1,1,0,0,0,1,False
150000,4,0,0,0,1,0,1,0,False
150000,6,0,0,0,0,0,1,1,False
75000,7,0,0,0,1,0,0,0,False
5000,9,1,0,0,0,0,0,0,False
150000,10,0,0,0,0,0,0,1,False
100000,11,0,0,0,1,0,0,0,False
10000,12,1,1,0,0,0,0,0,False
100000,13,0,0,0,0,0,0,1,False
10000,14,1,0,0,0,0,0,0,False
75000,15,0,0,0,0,1,0,0,False
10000,16,1,0,0,0,0,0,0,False
10000,17,1,0,0,0,0,0,0,False
5000,18,0,0,1,0,0,0,0,False
20000,19,1,0,0,0,0,0,0,False
150000,20,0,0,1,0,0,1,1,False
200000,21,0,0,0,1,0,0,0,False
5000,22,1,1,0,0,0,0,0,False
50000,23,0,0,0,0,1,0,0,False
5000,25,0,1,0,0,0,0,0,False
10000,27,0,0,1,0,0,1,0,False
20000,29,1,0,1,0,0,0,0,False
30000,30,1,0,1,0,0,0,0,False
30000,31,1,1,0,0,0,0,0,False
75000,33,0,0,1,1,1,0,0,False
10000,34,1,0,0,0,0,0,0,False
20000,35,0,0,0,0,1,0,0,False
5000,36,1,1,0,0,0,0,0,False
150000,37,0,0,0,1,0,1,0,False
20000,39,1,0,1,0,0,0,0,False
75000,40,1,0,0,1,0,0,1,False
20000,41,0,0,0,0,0,0,0,False
75000,42,0,0,0,1,0,0,0,False
75000,43,0,0,0,1,1,0,0,False
5000,44,1,1,0,1,0,0,0,False
50000,45,0,0,0,1,0,1,0,False
10000,46,1,0,1,0,0,0,0,False
50000,47,0,0,0,0,1,0,0,False
150000,48,0,0,0,1,0,1,0,False
200000,49,0,0,0,1,0,1,0,False
20000,51,1,0,1,0,0,0,0,False
30000,52,0,1,0,0,0,0,0,False
200000,53,0,1,0,1,0,1,1,False
10000,55,1,1,0,0,0,0,0,False
20000,56,0,0,1,0,0,0,0,False
15000,57,0,1,0,0,0,0,0,False
10000,58,1,0,0,0,0,0,1,False
15000,59,1,0,0,1,0,0,0,False
200000,61,0,0,0,0,0,1,1,False
50000,62,0,0,0,1,0,1,0,False
150000,63,0,0,0,1,0,1,0,False
30000,64,1,0,1,0,0,0,0,False
100000,65,0,0,0,0,0,1,1,False
200000,67,1,0,0,1,1,0,1,False
5000,68,1,0,0,0,0,0,0,False
10000,70,1,0,0,1,1,0,0,False
75000,71,0,0,0,1,0,1,0,False
20000,72,1,0,0,0,0,0,0,False
15000,73,0,0,1,0,0,0,0,False
30000,74,0,0,1,1,0,0,0,False
5000,75,1,0,0,0,0,0,0,False
20000,76,1,0,0,0,0,0,0,False
10000,77,0,0,1,0,0,0,0,False
30000,78,0,0,1,1,0,0,0,False
100000,79,0,0,0,1,0,1,0,False
10000,80,1,1,1,0,0,0,0,False
15000,81,1,0,0,0,0,0,0,False
10000,83,0,1,0,0,0,0,0,False
10000,85,0,0,1,0,0,0,0,False
150000,86,0,0,0,1,0,1,0,False
5000,87,0,0,1,0,0,0,1,False
150000,88,0,0,0,1,0,0,0,False
75000,89,0,0,0,0,1,0,1,False
10000,90,1,0,0,0,0,0,0,False
75000,91,0,0,0,0,1,1,0,False
20000,92,1,0,0,0,0,0,0,False
5000,93,1,1,0,1,0,0,0,False
200000,94,0,0,0,0,0,0,1,False
200000,95,0,0,0,0,0,1,1,False
20000,96,0,0,1,0,0,0,0,False
150000,98,0,1,0,1,0,1,0,False
150000,100,0,0,0,1,0,0,0,False
20000,101,0,1,0,0,0,0,0,False
150000,103,0,0,0,1,0,0,0,False
5000,104,1,0,1,0,0,1,0,False
10000,105,1,1,0,0,0,0,0,False
200000,106,0,0,0,1,0,1,0,False
10000,109,1,1,0,0,0,1,0,False
100000,111,0,0,0,1,0,1,0,False
150000,112,0,0,0,0,0,0,1,False
30000,114,0,0,0,1,0,0,0,False
150000,115,0,0,0,0,0,0,1,False
200000,116,0,0,0,0,0,0,1,False
10000,117,1,0,0,0,0,0,0,False
50000,118,0,0,0,1,0,0,0,False
15000,119,0,0,1,0,0,0,0,False
75000,121,0,0,0,1,1,1,1,False
10000,122,0,0,1,0,0,0,0,False
5000,123,1,0,1,0,0,0,0,False
50000,124,0,0,0,1,0,0,0,False
50000,125,0,0,0,1,0,0,0,False
100000,126,0,0,0,0,0,0,1,False
15000,127,1,0,1,0,0,0,0,False
50000,128,0,0,0,1,0,1,0,False
10000,129,1,0,0,0,0,0,0,False
10000,130,0,1,0,0,0,0,0,False
30000,131,1,0,0,0,0,0,0,False
5000,132,1,0,0,0,0,0,0,False
100000,133,0,0,0,1,0,1,0,False
50000,134,0,0,0,0,1,0,1,False
15000,135,0,0,1,0,0,0,0,False
100000,136,0,0,0,1,0,0,0,False
30000,137,1,0,0,0,0,0,0,False
10000,139,1,0,1,0,1,0,0,False
15000,140,1,0,0,0,1,0,0,False
30000,141,1,0,0,0,0,0,0,False
5000,143,1,1,0,0,0,0,1,False
50000,145,0,0,0,1,1,0,0,False
150000,146,0,0,0,1,0,0,0,False
100000,147,0,0,0,1,0,0,0,False
75000,148,0,0,0,1,0,1,0,False
