BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,30DD,30 Days Delinquent,30,2026-03-19,Titanium Credit Card,620.63,19225.16,M,1961-02-13,Primary,100000,,8173.56,62,,,,30DD,0,1
4,Mansoura,2023-09-01,200000,A,NORM,Normal,0,2026-03-19,Classic Credit Card,-13955.86,185679.9,F,1970-06-08,Primary,100001,,0.0,31,,,,NORM,0,2
6,Assiut,2020-12-19,5000,A,NORM,Normal,0,2026-03-20,Business Credit Card,2261.31,2406.29,M,1987-01-30,Primary,100003,,0.0,64,,,,NORM,0,4
10,Suez,2021-07-12,20000,A,30DD,30 Days Delinquent,30,2026-03-17,Business Credit Card,3078.59,16762.41,M,1999-04-24,Primary,100007,,6657.8,57,,,,30DD,0,8
5,Tanta,2024-07-22,75000,A,NORM,Normal,0,2026-04-01,Travel Rewards Card,17913.89,56784.48,M,1993-07-05,Primary,100008,,0.0,20,,,,NORM,0,9
3,Alexandria,2019-10-18,75000,A,NORM,Normal,0,2026-04-01,Gold Credit Card,36367.19,38153.01,F,1988-02-23,Primary,100009,,0.0,78,,,,NORM,0,10
3,Alexandria,2019-03-12,30000,A,30DD,30 Days Delinquent,30,2026-03-21,Titanium Credit Card,15007.2,14516.1,M,1982-10-09,Secondary,100011,,2933.81,85,,,,30DD,0,12
10,Suez,2023-06-25,5000,A,NORM,Normal,0,2026-03-23,Gold Credit Card,-12.73,4720.83,M,1974-07-16,Primary,100012,,0.0,33,,,,NORM,0,13
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-03-27,Platinum Credit Card,8166.89,1652.58,M,1992-10-30,Primary,100013,,0.0,34,,,,NORM,0,14
4,Mansoura,2020-04-03,30000,A,30DD,30 Days Delinquent,30,2026-03-21,Travel Rewards Card,17115.8,12622.77,F,1984-03-10,Primary,100014,,8326.1,72,,,,30DD,0,15
2,Giza,2020-09-01,30000,A,NORM,Normal,0,2026-03-20,Business Credit Card,24631.44,5198.61,M,1983-01-23,Primary,100016,,0.0,67,,,,NORM,0,17
7,Luxor,2019-01-22,10000,A,NORM,Normal,0,2026-03-21,Travel Rewards Card,1889.99,7824.2,F,1968-07-16,Secondary,100017,,0.0,87,,,,NORM,0,18
1,Cairo Main,2021-10-21,10000,A,NORM,Normal,0,2026-03-29,Titanium Credit Card,1384.15,8521.33,F,1978-01-22,Primary,100018,,0.0,54,,,,NORM,0,19
4,Mansoura,2018-11-05,100000,A,NORM,Normal,0,2026-03-26,Gold Credit Card,7655.56,92323.52,M,1999-03-24,Secondary,100019,,0.0,90,,,,NORM,0,20
7,Luxor,2023-05-26,20000,A,NORM,Normal,0,2026-03-19,Travel Rewards Card,3495.26,16418.36,F,1981-10-13,Secondary,100020,,0.0,34,,,,NORM,0,21
