BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
7,Luxor,2021-02-12,15000,I,CLSB,Closed by Bank,0,2026-03-18,Gold Credit Card,4172.1,10400.87,F,1975-04-06,Secondary,100002,2026-03-12,0.0,62,,,,CLSB,0,3
7,Luxor,2021-02-12,15000,A,FRAD,Fraud,0,2026-03-24,Cashback Card,8751.9,5849.63,F,1975-04-06,Secondary,100002,,0.0,62,,,,FRAD,0,3
7,Luxor,2021-02-12,15000,I,CLSD,Closed,0,2026-03-27,World Elite Card,12638.54,2337.1,F,1975-04-06,Secondary,100002,2026-03-16,0.0,62,,,,CLSD,0,3
2,Giza,2018-11-19,150000,A,SUSP,Profit Suspended,120,2026-03-19,Travel Rewards Card,140576.3,9105.86,F,1976-12-23,Secondary,100003,,82922.0,89,,,,SUSP,0,4
7,Luxor,2023-02-01,50000,A,SUSP,Profit Suspended,120,2026-03-19,Platinum Credit Card,15435.96,34201.34,M,1972-06-20,Primary,100004,,11639.79,38,,,,SUSP,0,5
8,Zagazig,2021-01-10,150000,I,CNCD,Cancelled,0,2026-03-19,Travel Rewards Card,84040.09,65767.03,F,1977-01-07,Primary,100005,,0.0,63,,,,CNCD,0,6
4,Mansoura,2023-09-19,100000,A,FRAD,Fraud,0,2026-03-24,World Elite Card,-1453.35,98524.6,M,1966-03-16,Primary,100007,,0.0,30,,,,FRAD,0,8
4,Mansoura,2023-09-19,100000,A,FRAD,Fraud,0,2026-03-19,Travel Rewards Card,7331.04,92204.78,M,1966-03-16,Primary,100007,,0.0,30,,,,FRAD,0,8
2,Giza,2023-06-14,10000,I,CLSD,Closed,0,2026-03-21,Cashback Card,-288.84,9221.28,F,1992-10-30,Secondary,100011,2026-03-22,0.0,34,,,,CLSD,0,12
9,Ismailia,2018-08-21,150000,I,CLSB,Closed by Bank,0,2026-03-28,Travel Rewards Card,29999.68,119948.43,M,1967-01-23,Primary,100019,2026-02-06,0.0,92,,,,CLSB,0,20
