BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-01-25,Classic Credit Card,2053.66,17489.74,F,1961-02-13,Primary,100000,,0.0,60,,,,NORM,0,1
4,Mansoura,2024-10-01,5000,A,30DD,30 Days Delinquent,30,2026-01-18,Cashback Card,4337.27,501.37,F,1982-09-01,Primary,100001,,1232.45,16,,,,30DD,0,2
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-01-29,Gold Credit Card,5487.54,9391.52,F,1975-04-06,Primary,100002,,0.0,60,,,,NORM,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-01-30,Cashback Card,12235.35,2310.21,F,1975-04-06,Primary,100002,,0.0,60,,,,NORM,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-01-20,World Elite Card,9160.74,5405.73,F,1975-04-06,Primary,100002,,0.0,60,,,,NORM,0,3
9,Ismailia,2022-03-31,10000,A,NORM,Normal,0,2026-02-01,Cashback Card,1730.31,7911.7,M,1965-08-07,Primary,100003,,0.0,46,,,,NORM,0,4
5,Tanta,2020-08-11,10000,A,NORM,Normal,0,2026-01-31,Cashback Card,-372.24,9221.93,F,1963-07-31,Primary,100004,,0.0,66,,,,NORM,0,5
10,Suez,2019-12-02,150000,A,NORM,Normal,0,2026-01-29,Platinum Credit Card,65570.65,84104.54,M,1988-06-25,Primary,100005,,0.0,75,,,,NORM,0,6
1,Cairo Main,2021-07-16,75000,A,NORM,Normal,0,2026-01-21,Titanium Credit Card,57486.75,17136.46,F,1996-02-10,Secondary,100006,,0.0,55,,,,NORM,0,7
5,Tanta,2020-10-07,150000,A,NORM,Normal,0,2026-01-22,Platinum Credit Card,128793.5,20808.72,M,1966-04-06,Secondary,100007,,0.0,64,,,,NORM,0,8
8,Zagazig,2018-07-12,10000,A,NORM,Normal,0,2026-01-22,Cashback Card,8441.55,1312.66,M,1964-01-29,Primary,100008,,0.0,92,,,,NORM,0,9
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-01-31,Cashback Card,3633.71,1016.51,M,1971-04-12,Primary,100009,,0.0,22,,,,NORM,0,10
1,Cairo Main,2020-12-14,150000,A,NORM,Normal,0,2026-01-23,World Elite Card,30427.79,119461.7,M,1992-05-22,Primary,100010,,0.0,62,,,,NORM,0,11
9,Ismailia,2024-09-19,50000,A,NORM,Normal,0,2026-01-23,Business Credit Card,24801.1,25046.53,M,1960-01-10,Primary,100011,,0.0,16,,,,NORM,0,12
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-01-25,Classic Credit Card,349.81,9346.47,F,1992-10-30,Secondary,100012,,0.0,32,,,,NORM,0,13
2,Giza,2023-06-14,10000,A,NORM,Normal,0,2026-01-20,Cashback Card,2181.04,7526.84,F,1992-10-30,Secondary,100012,,0.0,32,,,,NORM,0,13
5,Tanta,2022-03-10,100000,A,NEW,New,0,2026-01-22,World Elite Card,92102.35,7575.72,F,1977-11-24,Primary,100013,,0.0,47,,,,NEW,0,14
10,Suez,2018-01-30,10000,A,NORM,Normal,0,2026-01-27,Classic Credit Card,8723.86,951.95,M,1969-11-17,Primary,100014,,0.0,97,,,,NORM,0,15
9,Ismailia,2024-05-27,200000,A,NORM,Normal,0,2026-01-25,Business Credit Card,120436.41,79531.21,M,1965-12-07,Primary,100015,,0.0,20,,,,NORM,0,16
7,Luxor,2023-03-28,5000,A,NORM,Normal,0,2026-01-18,Cashback Card,3326.0,1614.2,M,1978-06-10,Primary,100016,,0.0,34,,,,NORM,0,17
3,Alexandria,2020-01-22,30000,A,NORM,Normal,0,2026-01-25,Classic Credit Card,-2615.68,27011.19,M,1978-12-04,Primary,100017,,0.0,73,,,,NORM,0,18
2,Giza,2020-08-26,15000,A,NORM,Normal,0,2026-01-30,Classic Credit Card,-982.76,13704.04,M,1993-10-20,Primary,100018,,0.0,66,,,,NORM,0,19
8,Zagazig,2022-09-29,150000,A,30DD,30 Days Delinquent,30,2026-01-25,Business Credit Card,118340.39,31390.75,M,1972-10-17,Primary,100019,,7610.53,40,,,,30DD,0,20
6,Assiut,2018-07-25,200000,A,NORM,Normal,0,2026-01-18,Business Credit Card,18363.78,181168.05,M,1962-07-25,Secondary,100020,,0.0,91,,,,NORM,0,21
