BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,I,CLSC,Closed by Customer,0,2026-01-24,Titanium Credit Card,9580.41,9942.94,M,1961-02-13,Primary,100000,2026-01-01,0.0,60,,,,CLSC,0,1
10,Suez,2021-07-12,20000,I,CNCD,Cancelled,0,2026-01-28,Business Credit Card,11060.24,8859.6,M,1999-04-24,Primary,100007,,0.0,55,,,,CNCD,0,8
2,Giza,2024-01-09,30000,A,LOST,Lost,0,2026-01-19,Cashback Card,28258.06,1459.24,F,1990-07-31,Primary,100010,,0.0,25,,,,LOST,0,11
1,Cairo Main,2021-10-21,10000,I,CLSB,Closed by Bank,0,2026-01-17,Titanium Credit Card,-837.12,9102.49,F,1978-01-22,Primary,100018,2026-01-24,0.0,52,,,,CLSB,0,19
4,Mansoura,2018-11-05,100000,I,CLSB,Closed by Bank,0,2026-01-28,Gold Credit Card,77555.15,22432.88,M,1999-03-24,Secondary,100019,2025-12-30,0.0,88,,,,CLSB,0,20
7,Luxor,2023-05-26,20000,I,CLSC,Closed by Customer,0,2026-01-25,Travel Rewards Card,16989.47,2833.35,F,1981-10-13,Secondary,100020,2026-01-25,0.0,32,,,,CLSC,0,21
6,Assiut,2018-07-25,200000,I,CLSC,Closed by Customer,0,2026-01-19,Business Credit Card,179483.0,20061.66,M,1962-07-25,Primary,100022,2026-01-02,0.0,91,,,,CLSC,0,23
1,Cairo Main,2020-05-10,20000,I,CLSC,Closed by Customer,0,2026-01-17,Gold Credit Card,18156.99,1573.1,F,1976-01-19,Primary,100030,2026-01-31,0.0,69,,,,CLSC,0,31
7,Luxor,2019-12-22,150000,I,CLSB,Closed by Bank,0,2026-01-21,Business Credit Card,90206.19,59548.7,M,1969-10-25,Primary,100041,2026-01-14,0.0,74,,,,CLSB,0,42
7,Luxor,2024-03-24,20000,I,CLSB,Closed by Bank,0,2026-01-24,Business Credit Card,14480.21,5307.21,M,1981-11-30,Primary,100057,2026-01-26,0.0,22,,,,CLSB,0,58
9,Ismailia,2021-01-28,5000,I,CNCD,Cancelled,0,2026-01-29,Classic Credit Card,1586.08,3297.86,F,1965-09-04,Secondary,100061,,0.0,61,,,,CNCD,0,62
9,Ismailia,2022-11-29,10000,I,CLSB,Closed by Bank,0,2026-01-24,Classic Credit Card,3390.55,6604.82,F,1982-02-24,Primary,100069,2025-12-24,0.0,38,,,,CLSB,0,70
1,Cairo Main,2021-01-08,200000,I,CLSC,Closed by Customer,0,2026-01-26,Classic Credit Card,98400.18,101516.85,F,1994-04-21,Primary,100070,2025-12-03,0.0,61,,,,CLSC,0,71
3,Alexandria,2024-03-06,5000,A,SUSP,Profit Suspended,120,2026-01-24,Travel Rewards Card,4057.49,650.28,M,1973-12-09,Secondary,100075,,1264.38,23,,,,SUSP,0,76
10,Suez,2023-06-29,15000,I,CLSB,Closed by Bank,0,2026-01-17,Business Credit Card,8025.21,6491.46,F,1989-08-08,Primary,100078,2026-02-01,0.0,31,,,,CLSB,0,79
2,Giza,2019-11-13,30000,I,CLSD,Closed,0,2026-01-18,Classic Credit Card,23258.56,6385.77,M,1979-11-26,Primary,100083,2025-12-13,0.0,75,,,,CLSD,0,84
8,Zagazig,2019-08-10,20000,I,CLSB,Closed by Bank,0,2026-01-26,Business Credit Card,14185.64,5641.36,F,1986-02-27,Secondary,100085,2026-01-21,0.0,78,,,,CLSB,0,86
9,Ismailia,2018-10-30,100000,I,CLSD,Closed,0,2026-02-01,Cashback Card,94521.03,5381.05,F,1967-02-01,Secondary,100086,2026-01-11,0.0,88,,,,CLSD,0,87
1,Cairo Main,2022-12-11,5000,I,CNCD,Cancelled,0,2026-01-18,Cashback Card,3822.46,745.95,F,1973-11-09,Primary,100089,,0.0,38,,,,CNCD,0,90
8,Zagazig,2019-07-31,20000,I,CLSC,Closed by Customer,0,2026-01-30,Travel Rewards Card,1217.03,18414.87,F,1963-05-18,Primary,100091,2025-12-09,0.0,79,,,,CLSC,0,92
10,Suez,2020-08-12,50000,I,CLSC,Closed by Customer,0,2026-02-01,Platinum Credit Card,4581.3,45375.49,M,1969-09-08,Primary,100098,2025-12-13,0.0,66,,,,CLSC,0,99
6,Assiut,2023-02-01,75000,A,SUSP,Profit Suspended,120,2026-01-23,Travel Rewards Card,22872.35,51858.68,F,1997-02-11,Primary,100104,,9874.49,36,,,,SUSP,0,105
7,Luxor,2021-03-06,200000,I,CLSC,Closed by Customer,0,2026-01-20,Business Credit Card,86461.76,113327.75,M,1964-12-21,Secondary,100112,2026-01-22,0.0,59,,,,CLSC,0,113
10,Suez,2021-12-12,150000,A,SUSP,Profit Suspended,120,2026-02-01,Gold Credit Card,100033.61,49754.09,F,1962-07-09,Primary,100120,,35749.61,50,,,,SUSP,0,121
1,Cairo Main,2021-10-02,10000,A,LOST,Lost,0,2026-01-29,Cashback Card,3428.24,6489.99,F,1995-05-27,Primary,100124,,0.0,52,,,,LOST,0,125
6,Assiut,2024-05-26,75000,I,CNCD,Cancelled,0,2026-01-20,Platinum Credit Card,-1297.27,73239.01,F,1970-10-16,Secondary,100137,,0.0,20,,,,CNCD,0,138
9,Ismailia,2018-03-25,75000,A,LOST,Lost,0,2026-01-19,Business Credit Card,12727.57,61945.98,F,1984-11-09,Primary,100138,,0.0,95,,,,LOST,0,139
9,Ismailia,2021-05-13,15000,I,CLSD,Closed,0,2026-01-23,Platinum Credit Card,445.03,14357.1,M,1973-01-09,Secondary,100150,2026-01-22,0.0,57,,,,CLSD,0,151
9,Ismailia,2021-05-30,15000,I,CLSB,Closed by Bank,0,2026-01-18,Platinum Credit Card,4800.86,10197.47,F,1966-11-12,Secondary,100154,2025-12-20,0.0,56,,,,CLSB,0,155
4,Mansoura,2024-03-06,30000,I,CLSC,Closed by Customer,0,2026-01-26,Platinum Credit Card,9075.63,20597.82,M,1988-06-26,Primary,100155,2025-12-24,0.0,23,,,,CLSC,0,156
