BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-02-18,Classic Credit Card,10297.65,9617.96,F,1961-02-13,Primary,100000,,0.0,61,,,,NORM,0,1
4,Mansoura,2024-10-01,5000,A,NORM,Normal,0,2026-02-17,Cashback Card,462.59,4172.74,F,1982-09-01,Primary,100001,,0.0,17,,,,NORM,0,2
7,Luxor,2021-02-12,15000,A,NEW,New,0,2026-02-21,Gold Credit Card,3223.04,11690.91,F,1975-04-06,Primary,100002,,0.0,61,,,,NEW,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-02-21,Cashback Card,-72.43,14454.69,F,1975-04-06,Primary,100002,,0.0,61,,,,NORM,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-02-16,World Elite Card,1256.3,13737.98,F,1975-04-06,Primary,100002,,0.0,61,,,,NORM,0,3
9,Ismailia,2022-03-31,10000,A,NORM,Normal,0,2026-02-19,Cashback Card,3655.53,6277.28,M,1965-08-07,Primary,100003,,0.0,47,,,,NORM,0,4
5,Tanta,2020-08-11,10000,A,NORM,Normal,0,2026-02-20,Cashback Card,5097.48,4687.37,F,1963-07-31,Primary,100004,,0.0,67,,,,NORM,0,5
10,Suez,2019-12-02,150000,A,NORM,Normal,0,2026-02-22,Platinum Credit Card,21476.89,128485.67,M,1988-06-25,Primary,100005,,0.0,76,,,,NORM,0,6
1,Cairo Main,2021-07-16,75000,A,NORM,Normal,0,2026-02-15,Titanium Credit Card,34926.04,39985.14,F,1996-02-10,Secondary,100006,,0.0,56,,,,NORM,0,7
5,Tanta,2020-10-07,150000,A,30DD,30 Days Delinquent,30,2026-02-25,Platinum Credit Card,19995.36,129578.55,M,1966-04-06,Secondary,100007,,62687.09,65,,,,30DD,0,8
8,Zagazig,2018-07-12,10000,A,NORM,Normal,0,2026-02-16,Cashback Card,2363.89,7495.62,M,1964-01-29,Primary,100008,,0.0,92,,,,NORM,0,9
9,Ismailia,2024-03-16,5000,A,NORM,Normal,0,2026-02-18,Cashback Card,4621.99,0.0,M,1971-04-12,Primary,100009,,0.0,23,,,,NORM,0,10
1,Cairo Main,2020-12-14,150000,A,NORM,Normal,0,2026-02-15,World Elite Card,20952.39,128960.88,M,1992-05-22,Primary,100010,,0.0,63,,,,NORM,0,11
