BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
4,Mansoura,2024-10-01,5000,I,CNCD,Cancelled,0,2026-02-26,Cashback Card,3463.57,1268.74,F,1982-09-01,Primary,100001,,0.0,17,,,,CNCD,0,2
7,Luxor,2021-02-12,15000,A,SUSP,Profit Suspended,120,2026-02-23,Gold Credit Card,6326.68,8502.07,F,1975-04-06,Secondary,100002,,1108.42,61,,,,SUSP,0,3
7,Luxor,2021-02-12,15000,A,SUSP,Profit Suspended,120,2026-02-22,Classic Credit Card,6183.67,8319.62,F,1975-04-06,Secondary,100002,,3185.34,61,,,,SUSP,0,3
4,Mansoura,2023-08-07,75000,I,CLSB,Closed by Bank,0,2026-02-19,Platinum Credit Card,48488.25,26422.09,F,1989-05-26,Secondary,100006,2026-01-16,0.0,31,,,,CLSB,0,7
4,Mansoura,2023-09-19,100000,I,CLSB,Closed by Bank,0,2026-02-25,Travel Rewards Card,58958.03,40591.45,M,1966-03-16,Primary,100007,2026-01-10,0.0,29,,,,CLSB,0,8
2,Giza,2024-03-04,10000,A,LOST,Lost,0,2026-02-17,Cashback Card,4349.84,5180.91,M,1979-11-17,Primary,100016,,0.0,24,,,,LOST,0,17
9,Ismailia,2018-08-21,150000,A,LOST,Lost,0,2026-02-28,Gold Credit Card,100565.37,49146.09,M,1967-01-23,Primary,100019,,0.0,91,,,,LOST,0,20
5,Tanta,2019-03-15,150000,A,WROF,Write Off,180,2026-02-28,World Elite Card,71454.09,78527.86,F,1965-03-06,Primary,100023,2026-02-20,86604.96,84,,,,WROF,0,24
6,Assiut,2019-04-18,30000,A,WROF,Write Off,180,2026-02-23,Cashback Card,26264.46,3521.66,F,1961-03-28,Primary,100029,2026-03-01,8985.35,83,,,,WROF,0,30
10,Suez,2021-05-17,75000,I,CLSB,Closed by Bank,0,2026-02-14,Gold Credit Card,59013.13,15511.8,F,1985-07-12,Primary,100032,2026-01-30,0.0,58,,,,CLSB,0,33
7,Luxor,2019-08-28,5000,A,WROF,Write Off,180,2026-02-16,Cashback Card,2976.63,1530.64,M,1970-12-11,Secondary,100035,2026-01-01,734.84,79,,,,WROF,0,36
2,Giza,2019-09-10,20000,I,CLSB,Closed by Bank,0,2026-02-18,Cashback Card,17844.5,1662.29,F,1966-03-17,Primary,100038,2026-02-17,0.0,78,,,,CLSB,0,39
2,Giza,2019-09-10,20000,A,LOST,Lost,0,2026-02-27,Gold Credit Card,1828.28,17752.83,F,1966-03-17,Primary,100038,,0.0,78,,,,LOST,0,39
10,Suez,2018-04-21,75000,I,CLSC,Closed by Customer,0,2026-02-23,Platinum Credit Card,39582.53,34985.71,M,1983-12-17,Primary,100041,2026-02-15,0.0,95,,,,CLSC,0,42
8,Zagazig,2023-03-19,200000,A,LOST,Lost,0,2026-02-19,Platinum Credit Card,50543.69,148980.39,M,1970-12-09,Primary,100048,,0.0,35,,,,LOST,0,49
1,Cairo Main,2021-04-20,20000,I,CNCD,Cancelled,0,2026-02-21,Cashback Card,13981.68,5866.77,F,1964-03-04,Primary,100050,,0.0,59,,,,CNCD,0,51
6,Assiut,2023-02-02,30000,I,CLSB,Closed by Bank,0,2026-02-27,Classic Credit Card,25707.86,4182.0,M,1991-07-12,Primary,100051,2026-02-27,0.0,37,,,,CLSB,0,52
10,Suez,2023-11-19,200000,A,LOST,Lost,0,2026-02-16,World Elite Card,121612.07,78017.09,M,1994-02-06,Secondary,100052,,0.0,27,,,,LOST,0,53
3,Alexandria,2023-07-04,10000,I,CLSB,Closed by Bank,0,2026-02-23,Gold Credit Card,315.29,9419.32,M,1988-08-11,Primary,100053,2026-02-03,0.0,32,,,,CLSB,0,54
4,Mansoura,2018-11-29,15000,A,LOST,Lost,0,2026-03-01,Classic Credit Card,14084.79,752.78,F,1971-11-14,Primary,100056,,0.0,88,,,,LOST,0,57
5,Tanta,2023-02-03,10000,I,CLSB,Closed by Bank,0,2026-03-01,Business Credit Card,8577.42,1237.9,M,1991-07-14,Primary,100057,2026-02-09,0.0,37,,,,CLSB,0,58
9,Ismailia,2023-07-16,100000,I,CLSB,Closed by Bank,0,2026-02-24,Travel Rewards Card,27911.4,72066.81,M,1984-03-22,Secondary,100059,2026-02-13,0.0,31,,,,CLSB,0,60
8,Zagazig,2022-07-31,50000,I,CLSB,Closed by Bank,0,2026-02-17,Platinum Credit Card,12844.51,37148.89,M,1975-08-10,Primary,100061,2026-01-07,0.0,43,,,,CLSB,0,62
2,Giza,2019-04-10,100000,I,CNCD,Cancelled,0,2026-02-14,World Elite Card,28585.25,71210.75,F,1970-01-29,Secondary,100064,,0.0,83,,,,CNCD,0,65
10,Suez,2022-06-17,10000,A,SUSP,Profit Suspended,120,2026-02-24,Cashback Card,2350.84,7619.37,M,1991-01-27,Primary,100069,,5969.89,45,,,,SUSP,0,70
4,Mansoura,2019-01-06,75000,I,CLSC,Closed by Customer,0,2026-02-18,Platinum Credit Card,59007.24,15697.61,F,1993-07-01,Primary,100070,2026-01-18,0.0,87,,,,CLSC,0,71
8,Zagazig,2024-08-03,30000,I,CLSB,Closed by Bank,0,2026-02-26,Platinum Credit Card,7414.27,22546.4,M,1975-07-02,Primary,100073,2026-02-22,0.0,19,,,,CLSB,0,74
5,Tanta,2019-05-22,100000,I,CLSB,Closed by Bank,0,2026-02-24,Travel Rewards Card,29327.94,70460.47,M,1984-01-26,Primary,100078,2026-01-12,0.0,82,,,,CLSB,0,79
2,Giza,2024-01-11,15000,A,LOST,Lost,0,2026-02-20,Cashback Card,5364.27,9388.69,M,1970-07-13,Secondary,100080,,0.0,26,,,,LOST,0,81
5,Tanta,2018-05-08,5000,I,CLSB,Closed by Bank,0,2026-02-26,World Elite Card,2988.48,1718.89,M,1980-07-18,Primary,100086,2026-01-17,0.0,95,,,,CLSB,0,87
6,Assiut,2023-02-01,75000,A,SUSP,Profit Suspended,120,2026-02-24,Titanium Credit Card,19253.9,55713.98,F,1997-02-11,Secondary,100088,,20610.19,37,,,,SUSP,0,89
6,Assiut,2024-05-13,200000,I,CLSB,Closed by Bank,0,2026-02-17,World Elite Card,45850.14,154028.02,F,1994-11-05,Primary,100094,2026-02-26,0.0,21,,,,CLSB,0,95
7,Luxor,2020-07-31,150000,I,CLSB,Closed by Bank,0,2026-02-19,Classic Credit Card,-10655.43,139017.46,F,1983-11-21,Secondary,100097,2026-02-23,0.0,67,,,,CLSB,0,98
8,Zagazig,2024-03-20,5000,I,CLSB,Closed by Bank,0,2026-02-28,Cashback Card,2254.95,2371.33,F,1986-01-12,Primary,100103,2026-02-19,0.0,23,,,,CLSB,0,104
