BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
2,Giza,2021-01-31,20000,A,NORM,Normal,0,2026-04-24,Classic Credit Card,8188.36,11510.79,F,1961-02-13,Primary,100000,,0.0,63,,,,NORM,0,1
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-28,Cashback Card,8008.66,6733.89,F,1975-04-06,Secondary,100002,,0.0,63,,,,NORM,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-22,World Elite Card,254.7,14365.86,F,1975-04-06,Secondary,100002,,0.0,63,,,,NORM,0,3
7,Luxor,2021-02-12,15000,A,NORM,Normal,0,2026-04-26,Classic Credit Card,8298.98,6692.49,F,1975-04-06,Secondary,100002,,0.0,63,,,,NORM,0,3
2,Giza,2018-11-19,150000,A,NORM,Normal,0,2026-04-24,Platinum Credit Card,355.82,149622.32,F,1976-12-23,Secondary,100003,,0.0,90,,,,NORM,0,4
2,Giza,2018-11-19,150000,A,NORM,Normal,0,2026-04-30,Travel Rewards Card,62520.63,87341.48,F,1976-12-23,Secondary,100003,,0.0,90,,,,NORM,0,4
7,Luxor,2023-02-01,50000,A,NORM,Normal,0,2026-04-26,Platinum Credit Card,12923.15,36743.07,M,1972-06-20,Primary,100004,,0.0,39,,,,NORM,0,5
8,Zagazig,2021-01-10,150000,A,NORM,Normal,0,2026-04-28,World Elite Card,20158.89,129718.15,F,1977-01-07,Primary,100005,,0.0,64,,,,NORM,0,6
8,Zagazig,2021-01-10,150000,A,90DA,90 Days Delinquent,90,2026-04-16,Travel Rewards Card,-7616.88,142069.03,F,1977-01-07,Primary,100005,,30453.19,64,,,,90DA,0,6
4,Mansoura,2023-09-19,100000,A,NORM,Normal,0,2026-04-27,World Elite Card,43986.45,55541.05,M,1966-03-16,Primary,100007,,0.0,31,,,,NORM,0,8
4,Mansoura,2023-09-19,100000,A,90DA,90 Days Delinquent,90,2026-04-25,Travel Rewards Card,29636.63,70221.13,M,1966-03-16,Primary,100007,,38384.64,31,,,,90DA,0,8
