BRANCH_ID,BRANCH_NAME,CREATION_DATE,CREDIT_LIMIT,ACTIVATED,STATUS,STATUS_NAME,DELINQUENCY,LAST_STATEMENT_DATE,PRODUCT_NAME,LEDGER_BALANCE,AVAILABLE_LIMIT,GENDER,DOB,CUSTOMER_TYPE,RIMNO,CLOSURE_DATE,OVERDUEAMOUNT,NO_OF_CYCLES,FIRST_REPLACED_CARD,SECOND_REPLACED_CARD,THIRD_REPLACED_CARD,Card account status ,DOB_WAS_MISSING,CUSTOMER_ID
4,Mansoura,2024-10-01,5000,A,WROF,Write Off,180,2026-04-26,Cashback Card,2890.88,1688.28,F,1982-09-01,Primary,100001,2026-04-20,2311.64,19,,,,WROF,0,2
7,Luxor,2021-02-12,15000,I,CLSD,Closed,0,2026-04-22,Gold Credit Card,1351.53,13621.38,F,1975-04-06,Secondary,100002,2026-03-20,0.0,63,,,,CLSD,0,3
4,Mansoura,2023-08-07,75000,A,FRAD,Fraud,0,2026-04-17,Platinum Credit Card,24318.52,50640.81,F,1989-05-26,Secondary,100006,,0.0,33,,,,FRAD,0,7
1,Cairo Main,2021-10-21,10000,I,CLSD,Closed,0,2026-04-28,Cashback Card,2084.33,7877.45,F,1978-01-22,Primary,100015,2026-04-17,0.0,55,,,,CLSD,0,16
2,Giza,2024-03-04,10000,A,FRAD,Fraud,0,2026-04-28,Business Credit Card,6858.24,2643.52,M,1979-11-17,Primary,100016,,0.0,26,,,,FRAD,0,17
9,Ismailia,2018-08-21,150000,A,WROF,Write Off,180,2026-04-26,Travel Rewards Card,-7235.74,142426.86,M,1967-01-23,Primary,100019,2026-04-16,77102.89,93,,,,WROF,0,20
5,Tanta,2019-03-15,150000,A,SUSP,Profit Suspended,120,2026-04-24,World Elite Card,79758.31,70106.56,F,1965-03-06,Primary,100023,,50741.88,86,,,,SUSP,0,24
6,Assiut,2019-04-18,30000,I,CLSB,Closed by Bank,0,2026-04-27,Cashback Card,20207.29,9331.31,F,1961-03-28,Primary,100029,2026-04-26,0.0,85,,,,CLSB,0,30
10,Suez,2021-05-17,75000,A,WROF,Write Off,180,2026-04-29,Gold Credit Card,20508.42,54083.52,F,1985-07-12,Primary,100032,2026-03-03,24549.3,60,,,,WROF,0,33
7,Luxor,2019-08-28,5000,I,CLSB,Closed by Bank,0,2026-04-24,Cashback Card,755.56,3855.08,M,1970-12-11,Secondary,100035,2026-03-27,0.0,81,,,,CLSB,0,36
