RIMNO,CUSTOMER_ID,default_probability,predicted_label
100093,94,0.061734766,0
100368,369,0.061734766,0
100368,369,0.061734766,0
100369,370,0.061734766,0
100369,370,0.9712099,1
100369,370,0.061734766,0
100370,371,0.9712099,1
100371,372,0.06345766,0
100371,372,0.06345766,0
100367,368,0.9694132,1
100371,372,0.06345766,0
100373,374,0.06135521,0
100373,374,0.06135521,0
100373,374,0.118211,0
100374,375,0.06135521,0
100375,376,0.054739583,0
100375,376,0.054739583,0
100376,377,0.054739583,0
100376,377,0.9674618,1
100372,373,0.06135521,0
100376,377,0.054739583,0
100366,367,0.9694132,1
100365,366,0.06345766,0
100349,350,0.9712099,1
100352,353,0.112515576,0
100353,354,0.06135521,0
100353,354,0.97201973,1
100354,355,0.06345766,0
100355,356,0.97201973,1
100355,356,0.97201973,1
100356,357,0.06345766,0
100366,367,0.062411673,0
100357,358,0.056278966,0
100358,359,0.061734766,0
100358,359,0.061734766,0
100359,360,0.058218256,0
100360,361,0.10615823,0
100362,363,0.056278966,0
100363,364,0.054739583,0
100364,365,0.06800121,0
100365,366,0.07301983,0
100358,359,0.061734766,0
100377,378,0.056278966,0
100379,380,0.058218256,0
100380,381,0.061734766,0
100401,402,0.9712099,1
100402,403,0.056278966,0
100402,403,0.056278966,0
100403,404,0.056278966,0
100404,405,0.058218256,0
100405,406,0.056278966,0
100407,408,0.06345766,0
100407,408,0.06345766,0
100399,400,0.06345766,0
100408,409,0.061734766,0
100409,410,0.056278966,0
100410,411,0.059685767,0
100410,411,0.059685767,0
100411,412,0.06786965,0
100412,413,0.122008465,0
100412,413,0.06345766,0
100412,413,0.06345766,0
100414,415,0.056278966,0
100408,409,0.061734766,0
100399,400,0.06551043,0
100398,399,0.9674618,1
100396,397,0.056278966,0
100381,382,0.06135521,0
100383,384,0.056278966,0
100383,384,0.056278966,0
100384,385,0.06135521,0
100385,386,0.059685767,0
100386,387,0.056278966,0
100386,387,0.056278966,0
100386,387,0.056278966,0
100386,387,0.056278966,0
100387,388,0.056278966,0
100388,389,0.97201973,1
100388,389,0.06345766,0
100390,391,0.10615823,0
100391,392,0.06135521,0
100392,393,0.056278966,0
100393,394,0.06345766,0
100395,396,0.054739583,0
100396,397,0.056278966,0
100396,397,0.9694132,1
100348,349,0.054739583,0
100415,416,0.059685767,0
100347,348,0.059685767,0
100346,347,0.97201973,1
100281,282,0.056629006,0
100282,283,0.056278966,0
100282,283,0.056278966,0
100283,284,0.056278966,0
100285,286,0.9694132,1
100286,287,0.061734766,0
100287,288,0.06135521,0
100290,291,0.118211,0
100279,280,0.118211,0
100291,292,0.97201973,1
100292,293,0.96853036,1
100294,295,0.056278966,0
100294,295,0.056278966,0
100295,296,0.06135521,0
100296,297,0.054739583,0
100297,298,0.06135521,0
100298,299,0.9712099,1
100299,300,0.056278966,0
100292,293,0.96853036,1
100300,301,0.06345766,0
100279,280,0.06135521,0
100278,279,0.06345766,0
100266,267,0.059685767,0
100267,268,0.06345766,0
100268,269,0.10897689,0
100269,270,0.97201973,1
100270,271,0.056278966,0
100270,271,0.056278966,0
100271,272,0.056278966,0
100271,272,0.056278966,0
100279,280,0.06800121,0
100272,273,0.06135521,0
100273,274,0.96853036,1
100274,275,0.06135521,0
100274,275,0.06135521,0
100276,277,0.059685767,0
100277,278,0.061734766,0
100277,278,0.061734766,0
100278,279,0.06345766,0
100278,279,0.06345766,0
100273,274,0.10615823,0
100301,302,0.056278966,0
100301,302,0.056278966,0
100302,303,0.056278966,0
100325,326,0.05811392,0
100326,327,0.056278966,0
100328,329,0.06135521,0
100329,330,0.054739583,0
100331,332,0.056527354,0
100332,333,0.9694132,1
100333,334,0.9694132,1
100335,336,0.10615823,0
100324,325,0.96853036,1
100336,337,0.06135521,0
100337,338,0.9694132,1
100338,339,0.056278966,0
100338,339,0.056278966,0
100339,340,0.056278966,0
100340,341,0.054739583,0
100341,342,0.97201973,1
100343,344,0.056527354,0
100343,344,0.10615823,0
100337,338,0.056278966,0
100322,323,0.10897689,0
100322,323,0.060223933,0
100321,322,0.06334457,0
100303,304,0.97201973,1
100304,305,0.06345766,0
100305,306,0.054739583,0
100306,307,0.06345766,0
100307,308,0.059685767,0
100308,309,0.061734766,0
100309,310,0.058218256,0
100309,310,0.9694132,1
100310,311,0.056278966,0
100311,312,0.06135521,0
100311,312,0.97201973,1
100312,313,0.96853036,1
100313,314,0.059685767,0
100314,315,0.056278966,0
100315,316,0.054739583,0
100316,317,0.06345766,0
100319,320,0.061734766,0
100320,321,0.122008465,0
100321,322,0.07062446,0
100347,348,0.059685767,0
100265,266,0.10897689,0
100416,417,0.056278966,0
100419,420,0.118897706,0
100504,505,0.056278966,0
100505,506,0.97201973,1
100506,507,0.06135521,0
100506,507,0.06135521,0
100508,509,0.059685767,0
100509,510,0.97201973,1
100510,511,0.06334457,0
100511,512,0.05811392,0
100504,505,0.056278966,0
100511,512,0.10897689,0
100513,514,0.06345766,0
100514,515,0.056278966,0
100515,516,0.10615823,0
100515,516,0.054739583,0
100515,516,0.06307654,0
100516,517,0.061734766,0
100516,517,0.061734766,0
100518,519,0.054739583,0
100513,514,0.97201973,1
100519,520,0.06345766,0
100503,504,0.06345766,0
100502,503,0.059685767,0
100489,490,0.97201973,1
100490,491,0.056629006,0
100490,491,0.056629006,0
100491,492,0.06135521,0
100491,492,0.06135521,0
100492,493,0.06345766,0
100493,494,0.056629006,0
100494,495,0.9694132,1
100503,504,0.06345766,0
100494,495,0.056278966,0
100496,497,0.056278966,0
100496,497,0.056278966,0
100497,498,0.06551043,0
100497,498,0.06786965,0
100498,499,0.06135521,0
100499,500,0.06334457,0
100499,500,0.06135521,0
100500,501,0.06345766,0
100495,496,0.10897689,0
100519,520,0.06345766,0
100520,521,0.059685767,0
100520,521,0.059685767,0
100537,538,0.056278966,0
100538,539,0.9694132,1
100540,541,0.97029513,1
100540,541,0.061734766,0
100542,543,0.9694132,1
100542,543,0.058218256,0
100543,544,0.058218256,0
100544,545,0.056629006,0
100534,535,0.06345766,0
100545,546,0.056278966,0
100547,548,0.97029513,1
100548,549,0.971066,1
100549,550,0.05811392,0
100551,552,0.06135521,0
100552,553,0.118211,0
100553,554,0.056278966,0
100554,555,0.06135521,0
100556,557,0.056527354,0
100546,547,0.06135521,0
100533,534,0.056278966,0
100533,534,0.056278966,0
100533,534,0.056278966,0
100520,521,0.059685767,0
100521,522,0.06135521,0
100522,523,0.059685767,0
100522,523,0.059685767,0
100523,524,0.059685767,0
100524,525,0.059685767,0
100524,525,0.059685767,0
100525,526,0.10897689,0
100526,527,0.06135521,0
100527,528,0.061734766,0
100527,528,0.061734766,0
100528,529,0.06551043,0
100528,529,0.06345766,0
100529,530,0.056278966,0
100530,531,0.06345766,0
100531,532,0.10897689,0
100531,532,0.062411673,0
100532,533,0.06603541,0
100533,534,0.056278966,0
100489,490,0.06345766,0
100419,420,0.118897706,0
100487,488,0.06135521,0
100486,487,0.056278966,0
