CREDIT_LIMIT,CUSTOMER_ID,HAS_PROD_Cashback_Card,HAS_PROD_Classic_Credit_Card,HAS_PROD_Gold_Credit_Card,HAS_PROD_Platinum_Credit_Card,HAS_PROD_Titanium_Credit_Card,HAS_PROD_Travel_Rewards_Card,HAS_PROD_World_Elite_Card,AGE_GROUP_18_25
20000,1,0,1,0,0,0,0,0,False
5000,2,1,0,0,0,0,0,0,False
15000,3,1,0,1,0,0,0,1,False
10000,4,1,0,0,0,0,0,0,False
10000,5,1,0,0,0,0,0,0,False
150000,6,0,0,0,1,0,0,0,False
75000,7,0,0,0,0,1,0,0,False
150000,8,0,0,0,1,0,0,0,False
10000,9,1,0,0,0,0,0,0,False
5000,10,1,0,0,0,0,0,0,False
150000,11,0,0,0,0,0,0,1,False
50000,12,0,0,0,0,0,0,0,False
10000,13,1,1,0,0,0,0,0,False
100000,14,0,0,0,0,0,0,1,False
10000,15,0,1,0,0,0,0,0,False
200000,16,0,0,0,0,0,0,0,False
5000,17,1,0,0,0,0,0,0,False
30000,18,0,1,0,0,0,0,0,False
15000,19,0,1,0,0,0,0,0,False
150000,20,0,0,0,0,0,0,0,False
200000,21,0,0,0,0,0,0,0,False
75000,22,0,1,0,1,0,1,0,False
15000,23,0,1,0,0,0,0,0,False
10000,24,0,1,0,0,0,0,0,False
15000,25,0,1,0,0,0,0,0,False
30000,26,0,0,1,0,0,0,0,False
150000,27,0,0,0,0,0,0,1,False
5000,28,0,1,0,0,0,0,0,False
20000,29,0,1,1,0,1,0,0,False
20000,30,1,0,1,0,0,0,0,False
30000,31,0,0,1,0,0,0,0,False
10000,32,1,0,0,0,0,0,0,False
5000,33,1,0,0,0,0,1,0,False
30000,34,0,0,1,0,0,0,0,False
200000,35,0,0,0,0,0,0,1,False
100000,36,0,0,0,0,0,0,1,False
15000,37,0,0,1,0,0,0,0,False
20000,38,0,1,0,0,0,0,0,False
10000,39,0,0,1,0,0,0,0,False
100000,40,0,0,0,1,0,1,0,False
150000,41,0,0,0,0,0,0,1,False
5000,42,1,0,1,0,0,0,0,False
150000,43,0,0,0,0,0,1,1,False
15000,44,0,0,1,0,0,0,0,False
50000,45,0,0,0,0,1,0,0,False
5000,46,0,1,0,0,0,0,0,False
100000,47,0,0,0,0,0,0,1,False
200000,48,0,0,0,1,0,1,0,False
5000,49,1,0,0,0,0,0,0,False
100000,50,0,0,0,1,0,0,0,False
10000,51,1,1,0,0,0,0,0,False
30000,52,1,0,0,0,0,0,0,False
100000,53,0,0,0,1,0,1,0,False
50000,54,0,0,0,0,0,0,0,False
10000,55,1,0,0,0,0,0,0,False
10000,56,0,0,1,0,0,0,0,False
30000,57,0,0,1,0,0,0,0,False
100000,58,0,0,0,1,0,1,0,False
75000,59,0,0,0,1,0,0,0,False
5000,60,0,1,0,1,0,0,0,False
75000,61,0,0,0,0,1,0,0,False
30000,62,0,1,0,0,0,0,0,False
30000,63,1,0,0,1,0,0,0,False
100000,64,0,0,0,1,0,0,0,False
200000,65,0,0,0,0,0,1,1,False
75000,66,0,0,0,1,0,0,0,False
10000,67,0,1,0,0,0,0,0,False
150000,68,0,0,0,1,0,0,0,False
10000,69,1,0,1,0,0,0,0,False
15000,70,1,0,0,1,0,0,0,False
20000,71,0,1,0,0,0,0,0,False
200000,72,0,0,0,1,0,1,1,False
20000,73,0,0,1,0,0,0,0,False
15000,74,0,0,1,0,0,0,1,False
30000,75,0,0,1,0,0,0,0,False
20000,76,1,1,0,0,0,0,1,False
30000,77,0,1,0,0,0,0,0,False
75000,78,0,0,0,0,1,0,0,False
30000,79,0,0,1,0,0,0,0,False
20000,80,1,1,0,0,0,0,0,False
200000,81,0,0,1,1,1,0,0,False
5000,82,0,1,0,0,0,0,0,False
50000,83,0,0,0,0,1,0,0,False
15000,84,1,0,0,0,0,1,0,False
100000,85,0,0,0,1,0,0,0,False
50000,86,0,0,0,1,0,0,0,False
10000,87,1,1,0,0,0,0,0,False
200000,88,0,0,0,1,1,1,0,False
5000,89,0,1,0,0,0,0,0,False
20000,90,1,1,0,0,0,0,0,False
5000,91,1,1,0,0,0,0,0,False
200000,92,0,0,0,1,0,0,0,False
150000,93,0,0,0,0,0,0,1,False
75000,94,0,0,0,0,1,0,0,False
150000,95,0,0,0,1,0,0,0,False
20000,96,0,0,1,0,0,0,0,False
10000,97,1,1,0,0,0,0,0,False
75000,98,0,0,0,0,1,0,0,False
20000,99,1,0,0,0,0,0,0,False
5000,100,1,1,0,1,0,0,0,False
200000,101,0,0,0,0,0,0,1,False
50000,102,0,0,0,1,0,0,0,False
100000,103,0,0,0,0,0,0,1,False
5000,104,1,0,0,0,0,0,0,False
10000,105,0,0,1,0,0,0,0,False
10000,106,1,1,0,0,0,0,0,False
75000,107,1,0,0,1,0,0,1,False
10000,108,1,0,0,1,0,0,0,False
50000,109,0,0,0,1,0,0,0,False
200000,110,0,0,0,1,0,0,0,False
50000,111,0,0,0,0,1,0,0,False
150000,112,0,0,0,0,0,0,1,False
10000,113,1,1,0,1,0,0,0,False
50000,114,0,0,0,0,1,0,0,False
15000,115,1,0,0,0,0,0,0,False
30000,116,0,0,1,0,0,0,0,False
30000,117,0,0,1,1,0,0,1,False
5000,118,1,0,1,0,0,0,0,False
50000,119,0,0,0,0,1,1,0,False
100000,120,0,0,0,1,0,1,0,False
50000,121,0,0,1,1,0,1,0,False
5000,122,1,0,0,0,0,0,0,False
50000,123,0,0,0,0,1,0,0,False
